Middle Date,2013 Date month,2014 Date month,2015 Date month,2016 Date month,Activity (number of hits),Number of taxa,Taxa  richness (NSP/activity),New taxa,Cumulative number of taxa,Rats/mice combined,Brush-tailed possum,Long-nosed bandicoot,Lyre bird,Brush turkey,Paddymelon,Dingo+Fox+Cat,Dingo,Cat,Yellow-throated srubwren,Wonga pigeon,Creature carrying & shaking gum leaves,Fox,Moth,Whipbird,Ring-tailed possum,Grey shrike thrush,Red-browed firetail,Swamp wallaby,Noisy pitta,Magpie,Anechinus,Hopping mouse,yellow robin,Land mullet,Python,leech,Beetle,Small bat,Whites thrush,Goanna,KOALA,Lewins honeyeater,short white-tailed mouse,Echidna,Catbird,Forest dragon,Rufous fantail,Spider,Crayfish(?),Rat with long whitish rigid tail,Emerald dove,
15/01/2013,,15-Jan,,,11,5,0.454545455,0,22,0,0,0,0,3,2,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25/01/2013,,25-Jan,,,8,2,0.25,0,22,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/02/2013,,4-Feb,,,28,7,0.25,1,23,1,8,0,0,9,4,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14/02/2013,,14-Feb,,,26,9,0.346153846,2,25,0,4,0,0,11,3,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25/02/2013,,25-Feb,,,21,5,0.238095238,0,25,0,0,0,0,12,1,3,0,0,0,0,0,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/03/2013,,7-Mar,,,16,6,0.375,0,25,0,1,0,0,7,1,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17/03/2013,,17-Mar,,,17,8,0.470588235,0,25,0,0,1,0,3,0,2,1,0,3,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27/03/2013,,27-Mar,,,21,6,0.285714286,0,25,0,1,0,0,8,2,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/04/2013,,6-Apr,,,22,5,0.227272727,0,25,0,0,0,0,14,1,1,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16/04/2013,,16-Apr,,,8,4,0.5,0,25,0,2,0,0,5,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26/04/2013,,26-Apr,,,23,5,0.217391304,0,25,0,0,0,0,15,0,4,2,0,3,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/05/2013,,5-May,,,16,6,0.375,0,25,0,0,0,0,4,2,2,2,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16/05/2013,,16-May,,,20,6,0.3,1,26,0,1,0,1,20,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
26/05/2013,,26-May,,,14,6,0.428571429,0,26,0,0,0,0,6,1,2,2,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5/06/2013,,5-Jun,,,11,3,0.272727273,0,26,0,0,0,0,6,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15/06/2013,,15-Jun,,,5,1,0.2,0,26,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25/06/2013,,25-Jun,,,6,1,0.166666667,0,26,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
